"","date","avg_danceability","avg_energy","avg_loudness","avg_speechiness","avg_acousticness","avg_instrumentalnes","avg_liveness","avg_valence","avg_tempo"
"1","2017-09-29","0.64572","0.66424","-5.40476","0.0948","0.1375892","0.0004160916","0.148132","0.508908","117.17324"
"2","2017-10-27","0.6572","0.63392","-5.68308","0.086616","0.1447012","0.0004167184","0.13766","0.458628","120.45072"
"3","2017-12-01","0.65528","0.63844","-5.91432","0.079852","0.179928","0.025571132","0.125208","0.429828","126.0074"
"4","2018-01-26","0.66828","0.6996","-5.85196","0.130424","0.10753236","0.0073059764","0.140748","0.46236","117.96144"
"5","2018-02-23","0.66908","0.67972","-5.76176","0.11424","0.08701436","0.0022847016","0.12424","0.47904","120.21256"
"6","2018-03-30","0.68612","0.66656","-5.78332","0.102984","0.1340428","0.000207908","0.134552","0.54328","120.95712"
"7","2018-04-27","0.6986","0.73648","-5.06932","0.077856","0.1199496","0.033762994","0.190604","0.52968","116.88916"
"8","2018-06-01","0.69044","0.69964","-5.05608","0.082212","0.1549172","2.1008e-05","0.187832","0.52988","119.99276"
"9","2018-06-29","0.71704","0.68152","-5.38808","0.098516","0.245228","0.0035844236","0.1762","0.53012","108.337"
"10","2018-07-27","0.7326","0.66552","-5.92728","0.106836","0.164064","0.004472168","0.185488","0.46988","109.58392"
"11","2018-08-31","0.70436","0.70564","-5.0764","0.123472","0.1643292","0.000162306","0.17276","0.47088","113.68608"
"12","2018-09-28","0.7108","0.6878","-5.63648","0.132812","0.1508292","0.0002762936","0.190604","0.47616","114.0308"
"13","2018-10-26","0.71628","0.67572","-5.47848","0.115664","0.2028052","0.0127012412","0.146488","0.48996","111.2202"
"14","2018-11-30","0.68696","0.64968","-6.06624","0.088788","0.2158612","0.0133642092","0.152892","0.51892","114.8776"
"15","2018-12-28","0.541","0.5674","-8.16488","0.045724","0.441144","0.0141377124","0.24012","0.64364","134.21948"
